Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
university,Chrome 125.0.0.0,,,13-06-2024 14:36:20,13-06-2024 14:38:37,2m - 17.274s,FAILED
,,,,,,,
Test Cases/BAMU/Acedamic,Chrome 125.0.0.0,,,13-06-2024 14:36:20,13-06-2024 14:36:33,12.898s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:36:20,13-06-2024 14:36:22,1.808s,PASSED
"navigateToUrl(""http://bamu.ac.in/Academics.aspx"")",Chrome 125.0.0.0,,,13-06-2024 14:36:22,13-06-2024 14:36:29,6.949s,PASSED
"click(findTestObject(""Object Repository/Page_Academics Section/h4_Faculty of Science and Technology""))",Chrome 125.0.0.0,,,13-06-2024 14:36:29,13-06-2024 14:36:30,0.549s,PASSED
"click(findTestObject(""Object Repository/Page_Academics Section/h1_Academics""))",Chrome 125.0.0.0,,,13-06-2024 14:36:30,13-06-2024 14:36:30,0.305s,PASSED
"click(findTestObject(""Object Repository/Page_Academics Section/img_IQAC (Cell)_imgG""))",Chrome 125.0.0.0,,,13-06-2024 14:36:30,13-06-2024 14:36:30,0.344s,PASSED
"click(findTestObject(""Object Repository/Page_Academics Section/h5_Dharashiv Subcampus""))",Chrome 125.0.0.0,,,13-06-2024 14:36:30,13-06-2024 14:36:31,0.298s,PASSED
"click(findTestObject(""Object Repository/Page_Academics Section/strong_Constituent Institute""))",Chrome 125.0.0.0,,,13-06-2024 14:36:31,13-06-2024 14:36:31,0.304s,PASSED
"click(findTestObject(""Object Repository/Page_Academics Section/h4_Chairs""))",Chrome 125.0.0.0,,,13-06-2024 14:36:31,13-06-2024 14:36:31,0.349s,PASSED
"click(findTestObject(""Object Repository/Page_Academics Section/h4_Faculty of Commerce and Management""))",Chrome 125.0.0.0,,,13-06-2024 14:36:31,13-06-2024 14:36:32,0.319s,PASSED
"click(findTestObject(""Object Repository/Page_Academics Section/h5_Dharashiv Subcampus""))",Chrome 125.0.0.0,,,13-06-2024 14:36:32,13-06-2024 14:36:32,0.305s,PASSED
"click(findTestObject(""Object Repository/Page_Academics Section/div_Faculty of Commerce and ManagementUnive_3f0aad""))",Chrome 125.0.0.0,,,13-06-2024 14:36:32,13-06-2024 14:36:32,0.306s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:36:32,13-06-2024 14:36:33,0.761s,PASSED
,,,,,,,
